,freq,lbd,S,aux,idl
114,176580593928867.44,1.6977656e-06,-55.5670935,,
115,176582632502152.84,1.697746e-06,-53.3367395,,
116,176584671122508.3,1.6977264e-06,-53.2792891,,
117,176586709789935.47,1.6977068e-06,-53.318187,,
118,176588748504435.9,1.6976872e-06,-52.5452159,,
119,176590787266011.3,1.6976676e-06,-54.6398298,,
120,176592826074663.3,1.697648e-06,-53.3131943,,
121,176594864930393.5,1.6976284e-06,-54.1045717,,
122,176596903833203.5,1.6976088e-06,-54.7365357,,
123,176598942783095.0,1.6975892e-06,-54.0131088,,
124,176600981780069.6,1.6975696e-06,-54.1375478,,
125,176603020824128.9,1.69755e-06,-54.7280941,,
126,176605059915274.56,1.6975304e-06,-56.787107,,
127,176607099053508.22,1.6975108e-06,-55.0727616,,
128,176609138238831.53,1.6974912e-06,-54.3716644,,
129,176611177471246.06,1.6974716e-06,-53.6667226,,
130,176613216750753.47,1.697452e-06,-54.0771114,,
131,176615256077355.4,1.6974324e-06,-54.1092728,,
132,176617295451053.5,1.6974128e-06,-53.4099564,,
133,176619334871849.38,1.6973932e-06,-54.2660256,,
134,176621374339744.66,1.6973736e-06,-55.3017229,,
135,176623413854740.97,1.697354e-06,-53.7129179,,
136,176625453416839.94,1.6973344e-06,-54.7119773,,
137,176627493026043.25,1.6973148e-06,-54.1174539,,
138,176629532682352.5,1.6972952e-06,-54.8672083,,
139,176631572385769.28,1.6972756e-06,-55.1203516,,
140,176633612136295.28,1.697256e-06,-54.8102135,,
141,176635651933932.12,1.6972364e-06,-54.2225351,,
142,176637691778681.44,1.6972168e-06,-53.8243832,,
143,176639731670544.8,1.6971972e-06,-55.3333853,,
144,176641771609523.94,1.6971776e-06,-56.1040807,,
145,176643811595620.44,1.697158e-06,-54.5363646,,
146,176645851628835.94,1.6971384e-06,-54.6282855,,
147,176647891709172.03,1.6971188e-06,-54.5700127,,
148,176649931836630.4,1.6970992e-06,-54.6626189,,
149,176651972011212.7,1.6970796e-06,-55.5342121,,
150,176654012232920.47,1.69706e-06,-52.9072777,,
151,176656052501755.4,1.6970404e-06,-54.3757311,,
152,176658092817719.12,1.6970208e-06,-53.1130127,,
153,176660133180813.3,1.6970012e-06,-53.8111317,,
154,176662173591039.53,1.6969816e-06,-54.6420392,,
155,176664214048399.44,1.696962e-06,-55.1735544,,
156,176666254552894.66,1.6969424e-06,-54.2893676,,
157,176668295104526.88,1.6969228e-06,-55.463814,,
158,176670335703297.62,1.6969032e-06,-55.2160812,,
159,176672376349208.62,1.6968836e-06,-54.7081765,,
160,176674417042261.47,1.696864e-06,-55.4221166,,
161,176676457782457.84,1.6968444e-06,-54.9806812,,
162,176678498569799.3,1.6968248e-06,-55.3883936,,
163,176680539404287.53,1.6968052e-06,-55.1397087,,
164,176682580285924.16,1.6967856e-06,-55.751196,,
165,176684621214710.8,1.696766e-06,-53.9587707,,
166,176686662190649.12,1.6967464e-06,-53.9509289,,
167,176688703213740.72,1.6967268e-06,-54.4318741,,
168,176690744283987.25,1.6967072e-06,-54.588133,,
169,176692785401390.34,1.6966876e-06,-55.0372292,,
170,176694826565951.62,1.696668e-06,-56.6737483,,
171,176696867777672.72,1.6966484e-06,-53.725025,,
172,176698909036555.3,1.6966288e-06,-53.7513512,,
