freq,lbd,S,aux,idl,mu
391265678428424.5,7.66212e-07,-75.0,,,106.19238627102291
391267721036585.4,7.66208e-07,-75.0,,,106.19443452617561
391269763666073.25,7.66204e-07,-75.0,,,106.19648280271427
391271806316888.56,7.662e-07,-75.0,,,106.19853110063933
391273848989031.5,7.66196e-07,-75.0,,,106.20057941995097
391275891682502.56,7.66192e-07,-75.0,,,106.2026277606497
391277934397302.0,7.66188e-07,-75.0,,,106.20467612273578
391279977133430.1,7.66184e-07,-73.0595322,,,106.2067245062095
391282019890887.25,7.6618e-07,-68.9370917,,,106.2087729110712
391284062669673.8,7.66176e-07,-70.5955191,,,106.21082133732129
391286105469790.06,7.66172e-07,-68.113767,,,106.21286978496005
391288148291236.4,7.66168e-07,-69.7509319,,,106.21491825398783
391290191134013.06,7.66164e-07,-75.0,,,106.21696674440496
391292233998120.5,7.6616e-07,-75.0,,,106.2190152562118
391294276883558.94,7.66156e-07,-75.0,,,106.22106378940862
391296319790328.8,7.66152e-07,-75.0,,,106.22311234399585
391298362718430.4,7.66148e-07,-75.0,,,106.22516091997375
391300405667864.0,7.66144e-07,-75.0,,,106.22720951734267
391302448638630.0,7.6614e-07,-75.0,,,106.22925813610296
391304491630728.75,7.66136e-07,-75.0,,,106.23130677625497
391306534644160.56,7.66132e-07,-75.0,,,106.233355437799
391308577678925.75,7.66128e-07,-73.7255999,,,106.23540412073541
391310620735024.6,7.66124e-07,-71.7637437,,,106.23745282506448
391312663812457.6,7.6612e-07,-68.8021047,,,106.23950155078664
391314706911224.94,7.66116e-07,-68.4601026,,,106.24155029790211
391316750031327.0,7.66112e-07,-71.5883469,,,106.2435990664113
391318793172764.2,7.66108e-07,-75.0,,,106.2456478563146
391320836335536.7,7.66104e-07,-75.0,,,106.24769666761222
391322879519645.0,7.661e-07,-75.0,,,106.24974550030461
391324922725089.3,7.66096e-07,-75.0,,,106.25179435439199
391326965951870.06,7.66092e-07,-75.0,,,106.2538432298748
391329009199987.44,7.66088e-07,-75.0,,,106.25589212675322
391331052469442.0,7.66084e-07,-75.0,,,106.25794104502782
391333095760233.9,7.6608e-07,-75.0,,,106.25998998469872
391335139072363.5,7.66076e-07,-75.0,,,106.26203894576635
391337182405831.3,7.66072e-07,-75.0,,,106.26408792823118
391339225760637.44,7.66068e-07,-75.0,,,106.26613693209329
391341269136782.3,7.66064e-07,-74.9009909,,,106.26818595735315
391343312534266.25,7.6606e-07,-73.6419743,,,106.27023500401108
391345355953089.6,7.66056e-07,-71.556578,,,106.27228407206744
391347399393252.7,7.66052e-07,-71.2757453,,,106.27433316152246
391349442854755.8,7.66048e-07,-68.8084573,,,106.27638227237657
391351486337599.44,7.66044e-07,-69.1716674,,,106.27843140463015
391353529841783.75,7.6604e-07,-70.5339681,,,106.28048055828344
391355573367309.1,7.66036e-07,-71.3313629,,,106.28252973333679
391357616914175.94,7.66032e-07,-70.3297202,,,106.28457892979056
391359660482384.5,7.66028e-07,-71.9611564,,,106.28662814764509
391361704071935.1,7.66024e-07,-70.3613715,,,106.28867738690069
391363747682828.1,7.6602e-07,-72.4151302,,,106.29072664755766
391365791315063.94,7.66016e-07,-75.0,,,106.29277592961645
391367834968642.8,7.66012e-07,-75.0,,,106.29482523307732
391369878643565.1,7.66008e-07,-75.0,,,106.29687455794061
391371922339831.1,7.66004e-07,-75.0,,,106.2989239042066
391373966057441.25,7.66e-07,-75.0,,,106.30097327187573
391376009796395.75,7.65996e-07,-75.0,,,106.30302266094826
391378053556695.06,7.65992e-07,-75.0,,,106.30507207142459
391380097338339.5,7.65988e-07,-75.0,,,106.30712150330505
391382141141329.3,7.65984e-07,-75.0,,,106.30917095658991
391384184965664.9,7.6598e-07,-75.0,,,106.31122043127954
391386228811346.56,7.65976e-07,-75.0,,,106.3132699273743
391388272678374.6,7.65972e-07,-75.0,,,106.31531944487443
391390316566749.5,7.65968e-07,-75.0,,,106.31736898378041
391392360476471.5,7.65964e-07,-75.0,,,106.31941854409253
391394404407540.9,7.6596e-07,-75.0,,,106.32146812581104
391396448359958.0,7.65956e-07,-75.0,,,106.32351772893631
391398492333723.25,7.65952e-07,-75.0,,,106.32556735346874
391400536328836.94,7.65948e-07,-75.0,,,106.32761699940862
391402580345299.4,7.65944e-07,-75.0,,,106.32966666675627
391404624383110.94,7.6594e-07,-75.0,,,106.33171635551206
391406668442271.94,7.65936e-07,-75.0,,,106.33376606567631
391408712522782.7,7.65932e-07,-75.0,,,106.33581579724934
391410756624643.5,7.65928e-07,-75.0,,,106.33786555023146
391412800747854.9,7.65924e-07,-75.0,,,106.33991532462316
391414844892417.0,7.6592e-07,-75.0,,,106.34196512042465
391416889058330.2,7.65916e-07,-75.0,,,106.3440149376362
391418933245594.8,7.65912e-07,-75.0,,,106.34606477625825
391420977454211.25,7.65908e-07,-75.0,,,106.34811463629111
391423021684179.75,7.65904e-07,-75.0,,,106.3501645177351
391425065935500.7,7.659e-07,-75.0,,,106.35221442059053
391427110208174.4,7.65896e-07,-75.0,,,106.35426434485775
391429154502201.3,7.65892e-07,-75.0,,,106.35631429053726
391431198817581.7,7.65888e-07,-75.0,,,106.35836425762922
391433243154315.8,7.65884e-07,-75.0,,,106.36041424613398
391435287512404.0,7.6588e-07,-75.0,,,106.36246425605184
391437331891846.7,7.65876e-07,-75.0,,,106.36451428738323
391439376292644.2,7.65872e-07,-75.0,,,106.36656434012848
391441420714796.8,7.65868e-07,-75.0,,,106.36861441428788
391443465158304.9,7.65864e-07,-75.0,,,106.37066450986177
391445509623168.75,7.6586e-07,-75.0,,,106.3727146268505
391447554109388.7,7.65856e-07,-75.0,,,106.37476476525434
391449598616965.2,7.65852e-07,-75.0,,,106.37681492507379
391451643145898.4,7.65848e-07,-75.0,,,106.37886510630896
391453687696188.8,7.65844e-07,-75.0,,,106.38091530896043
391455732267836.6,7.6584e-07,-75.0,,,106.38296553302831
391457776860842.25,7.65836e-07,-75.0,,,106.38501577851306
391459821475206.06,7.65832e-07,-75.0,,,106.38706604541504
391461866110928.3,7.65828e-07,-75.0,,,106.3891163337345
391463910768009.4,7.65824e-07,-75.0,,,106.39116664347183
391465955446449.6,7.6582e-07,-75.0,,,106.39321697462739
391468000146249.25,7.65816e-07,-75.0,,,106.39526732720138
391470044867408.75,7.65812e-07,-75.0,,,106.3973177011943
391472089609928.3,7.65808e-07,-75.0,,,106.39936809660634
391474134373808.5,7.65804e-07,-75.0,,,106.40141851343805
391476179159049.3,7.658e-07,-75.0,,,106.40346895168943
391478223965651.44,7.65796e-07,-75.0,,,106.40551941136118
391480268793614.94,7.65792e-07,-75.0,,,106.40756989245337
391482313642940.3,7.65788e-07,-75.0,,,106.40962039496648
391484358513627.9,7.65784e-07,-75.0,,,106.41167091890085
391486403405677.9,7.6578e-07,-70.3020363,,,106.41372146425671
391488448319090.7,7.65776e-07,-75.0,,,106.41577203103444
391490493253866.7,7.65772e-07,-75.0,,,106.41782261923441
391492538210006.2,7.65768e-07,-75.0,,,106.41987322885696
391494583187509.44,7.65764e-07,-75.0,,,106.42192385990231
391496628186376.94,7.6576e-07,-75.0,,,106.42397451237098
391498673206608.9,7.65756e-07,-75.0,,,106.42602518626315
391500718248205.7,7.65752e-07,-75.0,,,106.42807588157926
391502763311167.6,7.65748e-07,-75.0,,,106.43012659831956
391504808395495.1,7.65744e-07,-75.0,,,106.43217733648449
391506853501188.5,7.6574e-07,-75.0,,,106.43422809607435
391508898628247.9,7.65736e-07,-75.0,,,106.4362788770893
391510943776673.8,7.65732e-07,-75.0,,,106.43832967952987
391512988946466.6,7.65728e-07,-75.0,,,106.44038050339638
391515034137626.6,7.65724e-07,-75.0,,,106.44243134868917
391517079350154.1,7.6572e-07,-73.3293231,,,106.44448221540851
391519124584049.44,7.65716e-07,-75.0,,,106.44653310355476
391521169839312.94,7.65712e-07,-75.0,,,106.44858401312825
391523215115944.94,7.65708e-07,-75.0,,,106.45063494412932
391525260413945.8,7.65704e-07,-75.0,,,106.45268589655835
391527305733315.9,7.657e-07,-75.0,,,106.45473687041564
391529351074055.5,7.65696e-07,-75.0,,,106.45678786570157
391531396436164.94,7.65692e-07,-75.0,,,106.45883888241639
391533441819644.56,7.65688e-07,-75.0,,,106.46088992056049
391535487224494.7,7.65684e-07,-75.0,,,106.46294098013415
